escuela,semestre,curso,seccion,docente,diaHora,numeroMatriculados
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,03,POR ASIGNAR,MIE 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,05,POR ASIGNAR,VIE 11:00  13:00,Hay 5 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,10,POR ASIGNAR,SAB 11:00  13:00,Hay 1 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,A,"SANCHEZ MORENO MESTAS, MARTHA BEATRIZ",LUN 07:00  09:15,Hay 43 matriculados de 67
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,B,"SANCHEZ MORENO MESTAS, MARTHA BEATRIZ",MAR 07:00  09:15,Hay 67 matriculados de 67
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,C,"SANCHEZ MORENO MESTAS, MARTHA BEATRIZ",MIE 07:00  09:15,Hay 40 matriculados de 67
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,04,"HUARANCA MURIEL, MOISES SALVADOR",JUE 10:00  12:00,Hay 14 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,01,"GUTIERREZ YANARICO, DIEGO ALONSO",LUN 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,02,"GUTIERREZ YANARICO, DIEGO ALONSO",MAR 10:00  12:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,06,"YANAPA ZAPANA, ESTHER YANET",SAB 07:00  09:00,Hay 0 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,07,"YANAPA ZAPANA, ESTHER YANET",SAB 09:00  11:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,08,"YANAPA ZAPANA, ESTHER YANET",VIE 07:00  09:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,2,CÁLCULO INTEGRAL,09,"YANAPA ZAPANA, ESTHER YANET",VIE 09:00  11:00,Hay 20 matriculados de 20
INGENIERIA CIVIL,2,TALLER DE ARGUMENTACIÓN,A,POR ASIGNAR,LUN 15:30  18:15,Hay 75 matriculados de 75
INGENIERIA CIVIL,2,TALLER DE ARGUMENTACIÓN,B,POR ASIGNAR,MAR 15:30  18:15,Hay 67 matriculados de 75
INGENIERIA CIVIL,2,TALLER DE ARGUMENTACIÓN,C,POR ASIGNAR,MIE 15:30  18:15,Hay 71 matriculados de 75
INGENIERIA CIVIL,2,ESTADÍSTICA Y PROBABILIDADES,A,"DIAZ BASURCO, LUIS FERNANDO",JUE 08:30  10:00,Hay 70 matriculados de 70
INGENIERIA CIVIL,2,ESTADÍSTICA Y PROBABILIDADES,A,"DIAZ BASURCO, LUIS FERNANDO",MAR 08:30  10:00,Hay 70 matriculados de 70
INGENIERIA CIVIL,2,ESTADÍSTICA Y PROBABILIDADES,B,"DIAZ BASURCO, LUIS FERNANDO",LUN 08:30  10:00,Hay 70 matriculados de 70
INGENIERIA CIVIL,2,ESTADÍSTICA Y PROBABILIDADES,B,"DIAZ BASURCO, LUIS FERNANDO",MIE 08:30  10:00,Hay 70 matriculados de 70
INGENIERIA CIVIL,2,ESTADÍSTICA Y PROBABILIDADES,C,"DIAZ BASURCO, LUIS FERNANDO",JUE 07:00  08:30,Hay 69 matriculados de 70
INGENIERIA CIVIL,2,ESTADÍSTICA Y PROBABILIDADES,C,"DIAZ BASURCO, LUIS FERNANDO",LUN 07:00  08:30,Hay 69 matriculados de 70
INGENIERIA CIVIL,2,FÍSICA,B,"DIAZ PIZARRO, JUAN RAMON",LUN 07:00  08:30,Hay 71 matriculados de 75
INGENIERIA CIVIL,2,FÍSICA,B,"DIAZ PIZARRO, JUAN RAMON",MIE 07:00  08:30,Hay 71 matriculados de 75
